Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2.0,6000,335000,3,False,False,8.699681400989514
Taurus,Riyadh,Ford,Automatic,Other,Full,3.5,91815,86000,6,False,False,11.427541853360504
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2.0,124000,58500,5,False,False,11.728044909070785
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2.5,163000,69500,4,False,False,12.001511614739405
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,1.5,88000,24000,4,False,False,11.385103457032141
Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2.4,152000,52000,6,False,False,11.931642378754141
Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,3.6,112000,67000,4,False,False,11.626263078808801
Innova,Riyadh,Toyota,Automatic,Saudi,Full,2.7,226000,45000,7,False,False,12.328294703023394
The M,Dammam,BMW,Automatic,Gulf Arabic,Standard,2.0,1600,135000,4,False,False,7.3783837129967145
CX9,Taef,Mazda,Automatic,Saudi,Full,2.5,234000,57000,7,False,False,12.36308066783498
Yukon,Jeddah,GMC,Automatic,Other,Full,5.3,63860,175000,2,False,False,11.064464125400788
Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,4.8,339822,40000,10,False,False,12.736180172803948
